plot,block,time,treatment,farming_system,water
48,B,4w,C,BIODYN,0.57
52,C,4w,C,BIODYN,0.51
8,A,4w,C,BIODYN,0.49
86,D,4w,C,BIODYN,0.54
48,B,4w,R,BIODYN,0.42
52,C,4w,R,BIODYN,0.41
8,A,4w,R,BIODYN,0.47
86,D,4w,R,BIODYN,0.43
48,B,4w,RC,BIODYN,0.48
52,C,4w,RC,BIODYN,0.42
8,A,4w,RC,BIODYN,0.44
86,D,4w,RC,BIODYN,0.58
2,A,4w,C,CONMIN,0.42
42,B,4w,C,CONMIN,0.48
58,C,4w,C,CONMIN,0.44
92,D,4w,C,CONMIN,0.49
2,A,4w,R,CONMIN,0.37
42,B,4w,R,CONMIN,0.36
58,C,4w,R,CONMIN,0.34
92,D,4w,R,CONMIN,0.38
2,A,4w,RC,CONMIN,0.43
42,B,4w,RC,CONMIN,0.39
58,C,4w,RC,CONMIN,0.4
92,D,4w,RC,CONMIN,0.42
8,A,13w,C,BIODYN,0.34
48,B,13w,C,BIODYN,0.3
52,C,13w,C,BIODYN,0.26
86,D,13w,C,BIODYN,0.37
2,A,13w,C,CONMIN,0.38
42,B,13w,C,CONMIN,0.39
58,C,13w,C,CONMIN,0.38
92,D,13w,C,CONMIN,0.29
8,A,13w,R,BIODYN,0.23
48,B,13w,R,BIODYN,0.22
52,C,13w,R,BIODYN,0.22
86,D,13w,R,BIODYN,0.27
2,A,13w,R,CONMIN,0.26
42,B,13w,R,CONMIN,0.21
58,C,13w,R,CONMIN,0.23
92,D,13w,R,CONMIN,0.23
8,A,13w,RC,BIODYN,0.33
48,B,13w,RC,BIODYN,0.27
52,C,13w,RC,BIODYN,0.33
86,D,13w,RC,BIODYN,0.31
2,A,13w,RC,CONMIN,0.32
42,B,13w,RC,CONMIN,0.27
58,C,13w,RC,CONMIN,0.31
92,D,13w,RC,CONMIN,0.28
