"","reads.in","reads.out"
"Sample_S25_Pacbio.fq",4082,2684
"Sample_S26_Pacbio.fq",10146,6370
"Sample_S27_Pacbio.fq",11844,7611
"Sample_S28_Pacbio.fq",11358,7192
"Sample_S29_Pacbio.fq",12631,7773
"Sample_S30_Pacbio.fq",8861,5608
"Sample_S31_Pacbio.fq",2255,1368
"Sample_S32_Pacbio.fq",11718,7502
"Sample_S33_Pacbio.fq",7585,4883
"Sample_S34_Pacbio.fq",5408,3486
"Sample_S35_Pacbio.fq",12029,7402
"Sample_S36_Pacbio.fq",11969,7486
"Sample_S37_Pacbio.fq",11832,7173
"Sample_S38_Pacbio.fq",10786,6780
"Sample_S39_Pacbio.fq",8059,5110
"Sample_S40_Pacbio.fq",10686,6754
"Sample_S41_Pacbio.fq",7924,4988
"Sample_S42_Pacbio.fq",12774,8225
"Sample_S43_Pacbio.fq",5680,3541
"Sample_S44_Pacbio.fq",19427,12391
"Sample_S45_Pacbio.fq",2572,1630
"Sample_S46_Pacbio.fq",7129,4568
"Sample_S47_Pacbio.fq",13071,8405
"Sample_S48_Pacbio.fq",8281,5204
"Sample_S73_Pacbio.fq",14754,9302
"Sample_S74_Pacbio.fq",14838,9492
"Sample_S75_Pacbio.fq",7467,4889
"Sample_S76_Pacbio.fq",12259,7730
"Sample_S77_Pacbio.fq",15176,9668
"Sample_S78_Pacbio.fq",12302,7622
"Sample_S79_Pacbio.fq",15147,9562
"Sample_S80_Pacbio.fq",14746,9400
"Sample_S81_Pacbio.fq",10562,6579
"Sample_S82_Pacbio.fq",12429,7725
"Sample_S83_Pacbio.fq",10458,6669
"Sample_S84_Pacbio.fq",3665,2251
"Sample_S85_Pacbio.fq",4758,3033
"Sample_S86_Pacbio.fq",10275,6551
"Sample_S87_Pacbio.fq",5571,3504
"Sample_S88_Pacbio.fq",10726,7054
"Sample_S89_Pacbio.fq",18402,11891
"Sample_S90_Pacbio.fq",8815,5360
"Sample_S91_Pacbio.fq",9240,5944
"Sample_S92_Pacbio.fq",8451,5456
"Sample_S93_Pacbio.fq",9196,5614
"Sample_S94_Pacbio.fq",7374,4666
"Sample_S95_Pacbio.fq",7662,4945
"Sample_S96_Pacbio.fq",8785,5696
