"","input","filtered","denoised","nonchim"
"S25",4082,2684,1122,1102
"S26",10146,6370,4019,4019
"S27",11844,7611,6034,5980
"S28",11358,7192,5370,5370
"S29",12631,7773,5361,5361
"S30",8861,5608,4746,4746
"S31",2255,1368,404,404
"S32",11718,7502,5190,5190
"S33",7585,4883,2606,2562
"S34",5408,3486,1381,1272
"S35",12029,7402,4127,4127
"S36",11969,7486,5975,5975
"S37",11832,7173,4871,4871
"S38",10786,6780,4402,4402
"S39",8059,5110,2621,2555
"S40",10686,6754,4542,4542
"S41",7924,4988,2760,2729
"S42",12774,8225,7125,7125
"S43",5680,3541,1686,1654
"S44",19427,12391,11426,11426
"S45",2572,1630,622,622
"S46",7129,4568,1963,1924
"S47",13071,8405,7036,7036
"S48",8281,5204,2993,2917
"S73",14754,9302,7424,7356
"S74",14838,9492,7406,7366
"S75",7467,4889,2373,2353
"S76",12259,7730,6225,6225
"S77",15176,9668,6916,6916
"S78",12302,7622,5878,5878
"S79",15147,9562,8436,8436
"S80",14746,9400,7707,7674
"S81",10562,6579,3894,3894
"S82",12429,7725,3111,3111
"S83",10458,6669,2730,2730
"S84",3665,2251,815,754
"S85",4758,3033,413,413
"S86",10275,6551,1257,1257
"S87",5571,3504,1269,1234
"S88",10726,7054,4111,4094
"S89",18402,11891,7362,7341
"S90",8815,5360,2266,2266
"S91",9240,5944,1646,1646
"S92",8451,5456,1778,1778
"S93",9196,5614,2655,2650
"S94",7374,4666,2220,2220
"S95",7662,4945,1347,1347
"S96",8785,5696,2090,2090
